,Date,Type,Total,Total for Shares,Price per share
2318,"Aug 11, 2020","Delta Air Lines Market SellAug 11, 2020",$30.631 share at $30.63,$30.63,$30.63
2319,"Aug 11, 2020","JetBlue Airways Market SellAug 11, 2020",$12.081 share at $12.08,$12.08,$12.08
2320,"Aug 11, 2020","US Concrete Market SellAug 11, 2020",$30.741 share at $30.74,$30.74,$30.74
2321,"Aug 11, 2020","American Tower Market BuyAug 11, 2020",$24.820.1 shares at $248.20,$24.820.1,$248.20
2322,"Aug 11, 2020","Global Payments Market BuyAug 11, 2020",$17.190.1 shares at $171.90,$17.190.1,$171.90
2323,"Aug 11, 2020","O'Reilly Auto Parts Market BuyAug 11, 2020",$22.810.05 shares at $456.20,$22.810.05,$456.20
2324,"Aug 11, 2020","Martin Marietta Market BuyAug 11, 2020",$22.630.1 shares at $226.30,$22.630.1,$226.30
2325,"Aug 11, 2020","Uber Market BuyAug 11, 2020",$3.160.1 shares at $31.60,$3.160.1,$31.60
2326,"Aug 11, 2020","Unilever Market BuyAug 11, 2020",$5.900.1 shares at $59.00,$5.900.1,$59.00
2327,"Aug 11, 2020","Alliant Energy Market BuyAug 11, 2020",$10.900.2 shares at $54.50,$10.900.2,$54.50
2328,"Aug 11, 2020","American Tower Market BuyAug 11, 2020",$49.720.2 shares at $248.60,$49.720.2,$248.60
2329,"Aug 11, 2020","Evergy Market BuyAug 11, 2020",$32.450.6 shares at $54.08,$32.450.6,$54.08
2330,"Aug 11, 2020","GE Market SellAug 11, 2020",$27.924 shares at $6.98,$27.924,$6.98
2331,"Aug 10, 2020","American Airlines Market SellAug 10, 2020",$13.991 share at $13.99,$13.99,$13.99
2332,"Aug 10, 2020","JetBlue Airways Market SellAug 10, 2020",$11.551 share at $11.55,$11.55,$11.55
2333,"Aug 10, 2020","Delta Air Lines Market SellAug 10, 2020",$29.131 share at $29.13,$29.13,$29.13
2334,"Aug 10, 2020","Southwest Airlines Market SellAug 10, 2020",$34.731 share at $34.73,$34.73,$34.73
2335,"Aug 10, 2020","FleetCor Market BuyAug 10, 2020",$23.370.1 shares at $233.70,$23.370.1,$233.70
2336,"Aug 10, 2020","Dana Market SellAug 10, 2020",$13.781 share at $13.78,$13.78,$13.78
2337,"Aug 10, 2020","Evergy Market BuyAug 10, 2020",$5.420.1 shares at $54.20,$5.420.1,$54.20
2338,"Aug 10, 2020","Xerox Market SellAug 10, 2020",$17.691 share at $17.69,$17.69,$17.69
2339,"Aug 10, 2020","HP Market SellAug 10, 2020",$18.921 share at $18.92,$18.92,$18.92
2340,"Aug 10, 2020","Amcor PLC Market BuyAug 10, 2020",$11.101 share at $11.10,$11.10,$11.10
2341,"Aug 10, 2020","Tronox Market BuyAug 10, 2020",$9.031 share at $9.03,$9.03,$9.03
2342,"Aug 10, 2020","American Tower Market BuyAug 10, 2020",$25.280.1 shares at $252.80,$25.280.1,$252.80
2343,"Aug 10, 2020","Herman Miller Market SellAug 10, 2020",$52.782 shares at $26.39,$52.782,$26.39
2344,"Aug 10, 2020","CDW Market BuyAug 10, 2020",$11.360.1 shares at $113.60,$11.360.1,$113.60
2345,"Aug 10, 2020","Keysight Technologies Market BuyAug 10, 2020",$9.730.1 shares at $97.30,$9.730.1,$97.30
2346,"Aug 10, 2020","Hilton Worldwide Market BuyAug 10, 2020",$8.570.1 shares at $85.70,$8.570.1,$85.70
2347,"Aug 10, 2020","FleetCor Market BuyAug 10, 2020",$23.220.1 shares at $232.20,$23.220.1,$232.20
2348,"Aug 10, 2020","Evergy Market BuyAug 10, 2020",$10.960.2 shares at $54.80,$10.960.2,$54.80
2349,"Aug 10, 2020","US Concrete Market SellAug 10, 2020",$29.451 share at $29.45,$29.45,$29.45
2350,"Aug 7, 2020","Cisco Systems Market BuyAug 7, 2020",$4.760.1 shares at $47.60,$4.760.1,$47.60
2351,"Aug 7, 2020","Applied Materials Market BuyAug 7, 2020",$6.340.1 shares at $63.40,$6.340.1,$63.40
2352,"Aug 7, 2020","Micron Technology Market BuyAug 7, 2020",$9.720.2 shares at $48.60,$9.720.2,$48.60
2353,"Aug 7, 2020","FirstEnergy Market BuyAug 7, 2020",$14.710.5 shares at $29.42,$14.710.5,$29.42
2354,"Aug 7, 2020","Naspers Market BuyAug 7, 2020",$3.510.1 shares at $35.10,$3.510.1,$35.10
2355,"Aug 7, 2020","Bayer Market BuyAug 7, 2020",$16.431 share at $16.43,$16.43,$16.43
2356,"Aug 6, 2020","Apple Market SellAug 6, 2020",$45.580.1 shares at $455.80,$45.580.1,$455.80
2357,"Aug 6, 2020","Naspers Market BuyAug 6, 2020",$3.740.1 shares at $37.40,$3.740.1,$37.40
2358,"Aug 6, 2020","Coca-Cola Europacific Partners Market BuyAug 6, 2020",$4.040.1 shares at $40.40,$4.040.1,$40.40
2359,"Aug 6, 2020","American Tower Market BuyAug 6, 2020",$25.260.1 shares at $252.60,$25.260.1,$252.60
2360,"Aug 6, 2020","Intel Market BuyAug 6, 2020",$9.650.2 shares at $48.25,$9.650.2,$48.25
2361,"Aug 6, 2020","PepsiCo Market BuyAug 6, 2020",$13.580.1 shares at $135.80,$13.580.1,$135.80
2362,"Aug 6, 2020","Oracle Market BuyAug 6, 2020",$5.500.1 shares at $55.00,$5.500.1,$55.00
2363,"Aug 6, 2020","Oracle Market BuyAug 6, 2020",$5.500.1 shares at $55.00,$5.500.1,$55.00
2364,"Aug 5, 2020","Amgen Market BuyAug 5, 2020",$12.040.05 shares at $240.80,$12.040.05,$240.80
2365,"Aug 5, 2020","Mylan Market SellAug 5, 2020",$17.061 share at $17.06,$17.06,$17.06
2366,"Aug 5, 2020","Edison International Market BuyAug 5, 2020",$37.530.7 shares at $53.61,$37.530.7,$53.61
2367,"Aug 5, 2020","Edison International Market BuyAug 5, 2020",$10.720.2 shares at $53.60,$10.720.2,$53.60
2368,"Aug 5, 2020","Dana Market SellAug 5, 2020",$25.382 shares at $12.69,$25.382,$12.69
2369,"Aug 5, 2020","Eversource Market BuyAug 5, 2020",$8.810.1 shares at $88.10,$8.810.1,$88.10
2370,"Aug 5, 2020","Analog Devices Market BuyAug 5, 2020",$11.560.1 shares at $115.60,$11.560.1,$115.60
2371,"Aug 5, 2020","American Tower Market BuyAug 5, 2020",$25.570.1 shares at $255.70,$25.570.1,$255.70
2372,"Aug 5, 2020","Ruth's Hospitality Market SellAug 5, 2020",$39.135 shares at $7.83,$39.135,$7.83
2373,"Aug 5, 2020","Ruth's Hospitality Market SellAug 5, 2020",$39.135 shares at $7.83,$39.135,$7.83
2374,"Aug 5, 2020","Ruth's Hospitality Market SellAug 5, 2020",$39.135 shares at $7.83,$39.135,$7.83
2375,"Aug 5, 2020","Ruth's Hospitality Market SellAug 5, 2020",$39.135 shares at $7.83,$39.135,$7.83
2376,"Aug 5, 2020","Ruth's Hospitality Market SellAug 5, 2020",$39.085 shares at $7.82,$39.085,$7.82
2377,"Aug 5, 2020","Ruth's Hospitality Market SellAug 5, 2020",$39.055 shares at $7.81,$39.055,$7.81
2378,"Aug 5, 2020","US Concrete Market SellAug 5, 2020",$56.362 shares at $28.18,$56.362,$28.18
2379,"Aug 4, 2020","FirstEnergy Market BuyAug 4, 2020",$14.800.5 shares at $29.60,$14.800.5,$29.60
2380,"Aug 4, 2020","Evergy Market BuyAug 4, 2020",$5.570.1 shares at $55.70,$5.570.1,$55.70
2381,"Aug 4, 2020","Rakuten Group Market SellAug 4, 2020",$10.001 share at $10.00,$10.00,$10.00
2382,"Aug 4, 2020","PowerFleet Market SellAug 4, 2020",$11.852 shares at $5.93,$11.852,$5.93
2383,"Aug 4, 2020","Ventas Market BuyAug 4, 2020",$7.600.2 shares at $38.00,$7.600.2,$38.00
2384,"Aug 4, 2020","Nucor Market BuyAug 4, 2020",$21.320.5 shares at $42.64,$21.320.5,$42.64
2385,"Aug 4, 2020","Motorola Solutions Market BuyAug 4, 2020",$13.760.1 shares at $137.60,$13.760.1,$137.60
2386,"Aug 4, 2020","LyondellBasell Market BuyAug 4, 2020",$31.130.5 shares at $62.26,$31.130.5,$62.26
2387,"Aug 4, 2020","Xylem Market BuyAug 4, 2020",$14.650.2 shares at $73.25,$14.650.2,$73.25
2388,"Aug 3, 2020","Panasonic Market BuyAug 3, 2020",$25.383 shares at $8.46,$25.383,$8.46
2389,"Aug 3, 2020","Deposit from Checking (non-interest)Aug 3, 2020",$100.00,,
2390,"Aug 3, 2020","Alphabet Class A Market BuyAug 3, 2020","$29.520.02 shares at $1,476.00",$29.520.02,"$1,476.00"
2391,"Aug 3, 2020","American Tower Market BuyAug 3, 2020",$25.750.1 shares at $257.50,$25.750.1,$257.50
2392,"Aug 3, 2020","PowerFleet Market SellAug 3, 2020",$27.005 shares at $5.40,$27.005,$5.40
2393,"Aug 3, 2020","International Airlines Group Market BuyAug 3, 2020",$21.455 shares at $4.29,$21.455,$4.29
2394,"Aug 3, 2020","Target Market BuyAug 3, 2020",$12.760.1 shares at $127.60,$12.760.1,$127.60
2395,"Aug 3, 2020","Dominion Energy Market BuyAug 3, 2020",$16.060.2 shares at $80.30,$16.060.2,$80.30
2396,"Aug 3, 2020","NextEra Energy Market BuyAug 3, 2020",$27.800.1 shares at $278.00,$27.800.1,$278.00
2397,"Aug 3, 2020","Eversource Market BuyAug 3, 2020",$17.860.2 shares at $89.30,$17.860.2,$89.30
2398,"Aug 3, 2020","TE Connectivity Market BuyAug 3, 2020",$17.920.2 shares at $89.60,$17.920.2,$89.60
2399,"Aug 3, 2020","Trane Technologies Market BuyAug 3, 2020",$22.460.2 shares at $112.30,$22.460.2,$112.30
2400,"Aug 3, 2020","Toyota Market BuyAug 3, 2020",$24.130.2 shares at $120.65,$24.130.2,$120.65
2401,"Aug 3, 2020","Emcor Market BuyAug 3, 2020",$14.290.2 shares at $71.45,$14.290.2,$71.45
2402,"Aug 3, 2020","Canadian Pacific Railway Market BuyAug 3, 2020",$27.590.1 shares at $275.90,$27.590.1,$275.90
2403,"Aug 3, 2020","Honda Market BuyAug 3, 2020",$4.990.2 shares at $24.95,$4.990.2,$24.95
2404,"Aug 3, 2020","Republic Services Market BuyAug 3, 2020",$17.470.2 shares at $87.35,$17.470.2,$87.35
2405,"Aug 3, 2020","PPL Market BuyAug 3, 2020",$13.310.5 shares at $26.62,$13.310.5,$26.62
2406,"Aug 3, 2020","Edison International Market BuyAug 3, 2020",$5.400.1 shares at $54.00,$5.400.1,$54.00
2407,"Aug 3, 2020","3M Market BuyAug 3, 2020",$15.020.1 shares at $150.20,$15.020.1,$150.20
2408,"Aug 3, 2020","Southern Market BuyAug 3, 2020",$5.410.1 shares at $54.10,$5.410.1,$54.10
2409,"Aug 3, 2020","Duke Energy Market BuyAug 3, 2020",$8.350.1 shares at $83.50,$8.350.1,$83.50
2410,"Aug 3, 2020","HP Market SellAug 3, 2020",$88.685 shares at $17.74,$88.685,$17.74
2411,"Jul 31, 2020","Panasonic Market BuyJul 31, 2020",$17.502 shares at $8.75,$17.502,$8.75
2412,"Jul 31, 2020","Mazda Market BuyJul 31, 2020",$2.871 share at $2.87,$2.87,$2.87
2413,"Jul 31, 2020","Jumia Technologies Market SellJul 31, 2020",$28.902 shares at $14.45,$28.902,$14.45
2414,"Jul 31, 2020","Jumia Technologies Market SellJul 31, 2020",$14.571 share at $14.57,$14.57,$14.57
2415,"Jul 31, 2020","PepsiCo Market BuyJul 31, 2020",$13.640.1 shares at $136.40,$13.640.1,$136.40
2416,"Jul 31, 2020","Verizon Market BuyJul 31, 2020",$28.470.5 shares at $56.94,$28.470.5,$56.94
2417,"Jul 31, 2020","Procter & Gamble Market BuyJul 31, 2020",$25.980.2 shares at $129.90,$25.980.2,$129.90
2418,"Jul 31, 2020","CF Industries Market BuyJul 31, 2020",$15.420.5 shares at $30.84,$15.420.5,$30.84
2419,"Jul 31, 2020","Centene Market BuyJul 31, 2020",$6.540.1 shares at $65.40,$6.540.1,$65.40
2420,"Jul 31, 2020","Avery Dennison Market BuyJul 31, 2020",$22.480.2 shares at $112.40,$22.480.2,$112.40
2421,"Jul 31, 2020","Archer Daniels Midland Market BuyJul 31, 2020",$42.541 share at $42.54,$42.54,$42.54
2422,"Jul 31, 2020","Nike Market BuyJul 31, 2020",$19.310.2 shares at $96.55,$19.310.2,$96.55
2423,"Jul 31, 2020","Caterpillar Market BuyJul 31, 2020",$26.160.2 shares at $130.80,$26.160.2,$130.80
2424,"Jul 31, 2020","Deposit from Checking (non-interest)Jul 31, 2020",$400.00,,
2425,"Jul 31, 2020","Coca-Cola Market BuyJul 31, 2020",$46.941 share at $46.94,$46.94,$46.94
2426,"Jul 31, 2020","Union Pacific Market BuyJul 31, 2020",$16.980.1 shares at $169.80,$16.980.1,$169.80
2427,"Jul 31, 2020","Texas Instruments Market BuyJul 31, 2020",$25.370.2 shares at $126.85,$25.370.2,$126.85
2428,"Jul 31, 2020","3M Market BuyJul 31, 2020",$29.970.2 shares at $149.85,$29.970.2,$149.85
2429,"Jul 31, 2020","Ecolab Market BuyJul 31, 2020",$18.640.1 shares at $186.40,$18.640.1,$186.40
2430,"Jul 31, 2020","Johnson & Johnson Market BuyJul 31, 2020",$14.560.1 shares at $145.60,$14.560.1,$145.60
2431,"Jul 31, 2020","Alphabet Class A Market BuyJul 31, 2020","$29.390.02 shares at $1,469.50",$29.390.02,"$1,469.50"
2432,"Jul 31, 2020","Tesla Market BuyJul 31, 2020","$29.270.02 shares at $1,463.50",$29.270.02,"$1,463.50"
2433,"Jul 31, 2020","Microsoft Market BuyJul 31, 2020",$20.040.1 shares at $200.40,$20.040.1,$200.40
2434,"Jul 31, 2020","Dana Market BuyJul 31, 2020",$33.453 shares at $11.15,$33.453,$11.15
2435,"Jul 31, 2020","US Concrete Market BuyJul 31, 2020",$48.052 shares at $24.03,$48.052,$24.03
2436,"Jul 31, 2020","3M Market BuyJul 31, 2020",$15.170.1 shares at $151.70,$15.170.1,$151.70
2437,"Jul 30, 2020","CSX Market BuyJul 30, 2020",$14.110.2 shares at $70.55,$14.110.2,$70.55
2438,"Jul 30, 2020","Deere Market BuyJul 30, 2020",$17.690.1 shares at $176.90,$17.690.1,$176.90
2439,"Jul 30, 2020","TJX Market BuyJul 30, 2020",$10.350.2 shares at $51.75,$10.350.2,$51.75
2440,"Jul 30, 2020","Walgreens Market BuyJul 30, 2020",$40.751 share at $40.75,$40.75,$40.75
2441,"Jul 30, 2020","CVS Market BuyJul 30, 2020",$63.831 share at $63.83,$63.83,$63.83
2442,"Jul 30, 2020","Cerner Market BuyJul 30, 2020",$14.250.2 shares at $71.25,$14.250.2,$71.25
2443,"Jul 30, 2020","Cardinal Health Market BuyJul 30, 2020",$11.180.2 shares at $55.90,$11.180.2,$55.90
2444,"Jul 30, 2020","BorgWarner Market BuyJul 30, 2020",$11.200.3 shares at $37.33,$11.200.3,$37.33
2445,"Jul 30, 2020","Baxter Market BuyJul 30, 2020",$8.520.1 shares at $85.20,$8.520.1,$85.20
2446,"Jul 30, 2020","Aptiv Market BuyJul 30, 2020",$8.030.1 shares at $80.30,$8.030.1,$80.30
2447,"Jul 30, 2020","Stmicroelectronics Market BuyJul 30, 2020",$14.120.5 shares at $28.24,$14.120.5,$28.24
2448,"Jul 30, 2020","Mazda Market BuyJul 30, 2020",$2.951 share at $2.95,$2.95,$2.95
2449,"Jul 30, 2020","Jumia Technologies Market BuyJul 30, 2020",$13.111 share at $13.11,$13.11,$13.11
2450,"Jul 30, 2020","Ecolab Market BuyJul 30, 2020",$19.030.1 shares at $190.30,$19.030.1,$190.30
2451,"Jul 30, 2020","Automatic Data Processing Market BuyJul 30, 2020",$13.290.1 shares at $132.90,$13.290.1,$132.90
2452,"Jul 30, 2020","A.O. Smith Market BuyJul 30, 2020",$4.890.1 shares at $48.90,$4.890.1,$48.90
2453,"Jul 30, 2020","ServiceNow Market BuyJul 30, 2020",$42.240.1 shares at $422.40,$42.240.1,$422.40
2454,"Jul 30, 2020","Stanley Black & Decker Market BuyJul 30, 2020",$15.170.1 shares at $151.70,$15.170.1,$151.70
2455,"Jul 30, 2020","3M Market BuyJul 30, 2020",$15.170.1 shares at $151.70,$15.170.1,$151.70
2456,"Jul 30, 2020","Union Pacific Market BuyJul 30, 2020",$17.350.1 shares at $173.50,$17.350.1,$173.50
2457,"Jul 30, 2020","American Tower Market BuyJul 30, 2020",$26.310.1 shares at $263.10,$26.310.1,$263.10
2458,"Jul 30, 2020","Texas Instruments Market BuyJul 30, 2020",$12.860.1 shares at $128.60,$12.860.1,$128.60
2459,"Jul 30, 2020","Linde Market BuyJul 30, 2020",$23.890.1 shares at $238.90,$23.890.1,$238.90
2460,"Jul 30, 2020","Medtronic Market BuyJul 30, 2020",$9.570.1 shares at $95.70,$9.570.1,$95.70
2461,"Jul 30, 2020","Eli Lilly Market BuyJul 30, 2020",$15.490.1 shares at $154.90,$15.490.1,$154.90
2462,"Jul 30, 2020","US Concrete Market BuyJul 30, 2020",$24.941 share at $24.94,$24.94,$24.94
2463,"Jul 29, 2020","American Electric Power Market BuyJul 29, 2020",$42.100.5 shares at $84.20,$42.100.5,$84.20
2464,"Jul 29, 2020","3M Market BuyJul 29, 2020",$15.590.1 shares at $155.90,$15.590.1,$155.90
2465,"Jul 29, 2020","Intel Market BuyJul 29, 2020",$47.981 share at $47.98,$47.98,$47.98
2466,"Jul 29, 2020","Micron Technology Market BuyJul 29, 2020",$4.990.1 shares at $49.90,$4.990.1,$49.90
2467,"Jul 29, 2020","Automatic Data Processing Market BuyJul 29, 2020",$13.570.1 shares at $135.70,$13.570.1,$135.70
2468,"Jul 29, 2020","Duke Energy Market BuyJul 29, 2020",$8.400.1 shares at $84.00,$8.400.1,$84.00
2469,"Jul 29, 2020","Lumen Technologies Market BuyJul 29, 2020",$9.791 share at $9.79,$9.79,$9.79
2470,"Jul 29, 2020","Automatic Data Processing Market BuyJul 29, 2020",$27.440.2 shares at $137.20,$27.440.2,$137.20
2471,"Jul 29, 2020","Amgen Market BuyJul 29, 2020",$37.140.15 shares at $247.60,$37.140.15,$247.60
2472,"Jul 29, 2020","Albemarle Market BuyJul 29, 2020",$8.270.1 shares at $82.70,$8.270.1,$82.70
2473,"Jul 29, 2020","Stmicroelectronics Market BuyJul 29, 2020",$14.380.5 shares at $28.76,$14.380.5,$28.76
2474,"Jul 29, 2020","Biogen Market BuyJul 29, 2020",$13.910.05 shares at $278.20,$13.910.05,$278.20
2475,"Jul 29, 2020","JetBlue Airways Market BuyJul 29, 2020",$10.021 share at $10.02,$10.02,$10.02
2476,"Jul 29, 2020","Delta Air Lines Market BuyJul 29, 2020",$25.611 share at $25.61,$25.61,$25.61
2477,"Jul 29, 2020","Mazda Market BuyJul 29, 2020",$3.041 share at $3.04,$3.04,$3.04
2478,"Jul 29, 2020","Cinemark Market BuyJul 29, 2020",$11.361 share at $11.36,$11.36,$11.36
2479,"Jul 29, 2020","Xerox Market BuyJul 29, 2020",$15.051 share at $15.05,$15.05,$15.05
2480,"Jul 29, 2020","JetBlue Airways Market BuyJul 29, 2020",$10.161 share at $10.16,$10.16,$10.16
2481,"Jul 29, 2020","Delta Air Lines Market BuyJul 29, 2020",$25.991 share at $25.99,$25.99,$25.99
2482,"Jul 29, 2020","Canon Market BuyJul 29, 2020",$17.321 share at $17.32,$17.32,$17.32
2483,"Jul 28, 2020","BJ's Restaurants Market SellJul 28, 2020",$664.6233 shares at $20.14,$664.6233,$20.14
2484,"Jul 28, 2020","Tailored Brands Market SellJul 28, 2020",$8.7920 shares at $0.4395,$8.7920,$0.4395
2485,"Jul 28, 2020","Analog Devices Market BuyJul 28, 2020",$11.590.1 shares at $115.90,$11.590.1,$115.90
2486,"Jul 28, 2020","US Concrete Market BuyJul 28, 2020",$25.781 share at $25.78,$25.78,$25.78
2487,"Jul 28, 2020","Ecolab Market BuyJul 28, 2020",$19.610.1 shares at $196.10,$19.610.1,$196.10
2488,"Jul 28, 2020","Chef's Warehouse Market SellJul 28, 2020",$73.416 shares at $12.24,$73.416,$12.24
2489,"Jul 28, 2020","Oracle Market BuyJul 28, 2020",$5.550.1 shares at $55.50,$5.550.1,$55.50
2490,"Jul 28, 2020","Biogen Market BuyJul 28, 2020",$28.300.1 shares at $283.00,$28.300.1,$283.00
2491,"Jul 28, 2020","Taiwan Semiconductor Manufacturing Market BuyJul 28, 2020",$7.700.1 shares at $77.00,$7.700.1,$77.00
2492,"Jul 28, 2020","JetBlue Airways Market BuyJul 28, 2020",$10.131 share at $10.13,$10.13,$10.13
2493,"Jul 27, 2020","Alaska Air Market BuyJul 27, 2020",$3.400.1 shares at $34.00,$3.400.1,$34.00
2494,"Jul 27, 2020","Disney Market BuyJul 27, 2020",$11.590.1 shares at $115.90,$11.590.1,$115.90
2495,"Jul 27, 2020","Ross Market BuyJul 27, 2020",$8.460.1 shares at $84.60,$8.460.1,$84.60
2496,"Jul 27, 2020","Sempra Market BuyJul 27, 2020",$12.360.1 shares at $123.60,$12.360.1,$123.60
2497,"Jul 27, 2020","Waste Management Market BuyJul 27, 2020",$10.700.1 shares at $107.00,$10.700.1,$107.00
2498,"Jul 27, 2020","Southern Market BuyJul 27, 2020",$5.430.1 shares at $54.30,$5.430.1,$54.30
2499,"Jul 27, 2020","Johnson & Johnson Market BuyJul 27, 2020",$14.780.1 shares at $147.80,$14.780.1,$147.80
2500,"Jul 27, 2020","Baidu Market BuyJul 27, 2020",$5.790.05 shares at $115.80,$5.790.05,$115.80
2501,"Jul 27, 2020","Burberry Market BuyJul 27, 2020",$16.551 share at $16.55,$16.55,$16.55
2502,"Jul 27, 2020","Carnival Market BuyJul 27, 2020",$13.791 share at $13.79,$13.79,$13.79
2503,"Jul 27, 2020","Chef's Warehouse Market BuyJul 27, 2020",$36.023 shares at $12.01,$36.023,$12.01
2504,"Jul 27, 2020","UnitedHealth Market BuyJul 27, 2020",$29.910.1 shares at $299.10,$29.910.1,$299.10
2505,"Jul 27, 2020","CenterPoint Energy Market BuyJul 27, 2020",$19.011 share at $19.01,$19.01,$19.01
2506,"Jul 27, 2020","AES Market BuyJul 27, 2020",$15.111 share at $15.11,$15.11,$15.11
2507,"Jul 27, 2020","International Airlines Group Market BuyJul 27, 2020",$48.6010 shares at $4.86,$48.6010,$4.86
2508,"Jul 27, 2020","US Concrete Market SellJul 27, 2020",$27.031 share at $27.03,$27.03,$27.03
2509,"Jul 27, 2020","US Foods Market SellJul 27, 2020",$165.288 shares at $20.66,$165.288,$20.66
2510,"Jul 27, 2020","Intel Market BuyJul 27, 2020",$5.010.1 shares at $50.10,$5.010.1,$50.10
2511,"Jul 27, 2020","Honeywell International Market SellJul 27, 2020",$448.523 shares at $149.51,$448.523,$149.51
2512,"Jul 27, 2020","Simply Good Foods Market SellJul 27, 2020",$24.071 share at $24.07,$24.07,$24.07
2513,"Jul 24, 2020","Canon Market BuyJul 24, 2020",$19.651 share at $19.65,$19.65,$19.65
2514,"Jul 24, 2020","Cinemark Market BuyJul 24, 2020",$12.221 share at $12.22,$12.22,$12.22
2515,"Jul 24, 2020","Intel Market BuyJul 24, 2020",$50.481 share at $50.48,$50.48,$50.48
2516,"Jul 24, 2020","Baidu Market BuyJul 24, 2020",$11.830.1 shares at $118.30,$11.830.1,$118.30
2517,"Jul 24, 2020","Swire Pacific Market BuyJul 24, 2020",$49.7910 shares at $4.98,$49.7910,$4.98
2518,"Jul 24, 2020","Alphabet Class A Market BuyJul 24, 2020","$14.980.01 shares at $1,498.00",$14.980.01,"$1,498.00"
2519,"Jul 24, 2020","Intel Market BuyJul 24, 2020",$50.151 share at $50.15,$50.15,$50.15
2520,"Jul 24, 2020","Tesla Market BuyJul 24, 2020","$13.960.01 shares at $1,396.00",$13.960.01,"$1,396.00"
2521,"Jul 24, 2020","Apple Market BuyJul 24, 2020",$18.000.05 shares at $360.00,$18.000.05,$360.00
2522,"Jul 23, 2020","Apple Market BuyJul 23, 2020",$18.480.05 shares at $369.60,$18.480.05,$369.60
2523,"Jul 23, 2020","Microsoft Market BuyJul 23, 2020",$20.240.1 shares at $202.40,$20.240.1,$202.40
2524,"Jul 23, 2020","Apple Market BuyJul 23, 2020",$37.850.1 shares at $378.50,$37.850.1,$378.50
2525,"Jul 23, 2020","Microsoft Market BuyJul 23, 2020",$20.510.1 shares at $205.10,$20.510.1,$205.10
2526,"Jul 23, 2020","Swire Pacific Market BuyJul 23, 2020",$50.2010 shares at $5.02,$50.2010,$5.02
2527,"Jul 23, 2020","FLY Leasing Market BuyJul 23, 2020",$13.442 shares at $6.72,$13.442,$6.72
2528,"Jul 23, 2020","AES Market BuyJul 23, 2020",$15.741 share at $15.74,$15.74,$15.74
2529,"Jul 22, 2020","FLY Leasing Market BuyJul 22, 2020",$13.782 shares at $6.89,$13.782,$6.89
2530,"Jul 22, 2020","Cosan Market SellJul 22, 2020",$19.251 share at $19.25,$19.25,$19.25
2531,"Jul 22, 2020","HCA Healthcare Market SellJul 22, 2020",$118.001 share at $118.00,$118.00,$118.00
2532,"Jul 22, 2020","HCA Healthcare Market SellJul 22, 2020",Canceled,,
2533,"Jul 21, 2020","HCA Healthcare Market SellJul 21, 2020",$107.941 share at $107.94,$107.94,$107.94
2534,"Jul 21, 2020","Simply Good Foods Market SellJul 21, 2020",$23.201 share at $23.20,$23.20,$23.20
2535,"Jul 21, 2020","US Concrete Market SellJul 21, 2020",$26.851 share at $26.85,$26.85,$26.85
2536,"Jul 21, 2020","Cosan Market SellJul 21, 2020",$18.701 share at $18.70,$18.70,$18.70
2537,"Jul 20, 2020","GE Market BuyJul 20, 2020",$6.871 share at $6.87,$6.87,$6.87
2538,"Jul 20, 2020","Chef's Warehouse Market BuyJul 20, 2020",$12.151 share at $12.15,$12.15,$12.15
2539,"Jul 20, 2020","BJ's Restaurants Market BuyJul 20, 2020",$17.801 share at $17.80,$17.80,$17.80
2540,"Jul 20, 2020","Coca-Cola FEMSA Market BuyJul 20, 2020",$40.081 share at $40.08,$40.08,$40.08
2541,"Jul 20, 2020","Lionsgate Market BuyJul 20, 2020",$15.962 shares at $7.98,$15.962,$7.98
2542,"Jul 20, 2020","American Airlines Market BuyJul 20, 2020",$22.862 shares at $11.43,$22.862,$11.43
2543,"Jul 20, 2020","Cosan Market SellJul 20, 2020",$18.251 share at $18.25,$18.25,$18.25
2544,"Jul 20, 2020","Deposit from Checking (non-interest)Jul 20, 2020",$300.00,,
2545,"Jul 20, 2020","Exelon Market BuyJul 20, 2020",$38.271 share at $38.27,$38.27,$38.27
2546,"Jul 20, 2020","VF Market BuyJul 20, 2020",$116.542 shares at $58.27,$116.542,$58.27
2547,"Jul 20, 2020","AES Market BuyJul 20, 2020",$30.612 shares at $15.31,$30.612,$15.31
2548,"Jul 20, 2020","FLY Leasing Market BuyJul 20, 2020",$58.488 shares at $7.31,$58.488,$7.31
2549,"Jul 17, 2020","Exelon Market SellJul 17, 2020",$39.481 share at $39.48,$39.48,$39.48
2550,"Jul 17, 2020","Honeywell International Market SellJul 17, 2020",$155.141 share at $155.14,$155.14,$155.14
2551,"Jul 17, 2020","Mazda Market BuyJul 17, 2020",$3.271 share at $3.27,$3.27,$3.27
2552,"Jul 17, 2020","Rolls-Royce Market BuyJul 17, 2020",$6.742 shares at $3.37,$6.742,$3.37
2553,"Jul 17, 2020","Coca-Cola FEMSA Market BuyJul 17, 2020",$40.781 share at $40.78,$40.78,$40.78
2554,"Jul 16, 2020","Coca-Cola FEMSA Market BuyJul 16, 2020",$82.182 shares at $41.09,$82.182,$41.09
2555,"Jul 16, 2020","US Concrete Market SellJul 16, 2020",$26.811 share at $26.81,$26.81,$26.81
2556,"Jul 15, 2020","Alibaba Market BuyJul 15, 2020",$248.831 share at $248.83,$248.83,$248.83
