,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Sell?,Dividend?,Buy?,
2536,21-Jul-20,"Cosan Market SellJul 21, 2020",$18.701 share at $18.70,18.70,$18.70 ,2020,Sell,Cosan ,18.7,-18.7,0,0,
2537,20-Jul-20,"GE Market BuyJul 20, 2020",$6.871 share at $6.87,6.80,$6.87 ,2020,Buy,GE ,6.8,0,0,6.8,
2538,20-Jul-20,"Chef's Warehouse Market BuyJul 20, 2020",$12.151 share at $12.15,12.10,$12.15 ,2020,Buy,Chef's Warehouse ,12.1,0,0,12.1,
2539,20-Jul-20,"BJ's Restaurants Market BuyJul 20, 2020",$17.801 share at $17.80,17.80,$17.80 ,2020,Buy,BJ's Restaurants ,17.8,0,0,17.8,
2540,20-Jul-20,"Coca-Cola FEMSA Market BuyJul 20, 2020",$40.081 share at $40.08,40.00,$40.08 ,2020,Buy,Coca-Cola FEMSA ,40,0,0,40,
2541,20-Jul-20,"Lionsgate Market BuyJul 20, 2020",$15.962 shares at $7.98,15.90,$7.98 ,2020,Buy,Lionsgate ,15.9,0,0,15.9,
2542,20-Jul-20,"American Airlines Market BuyJul 20, 2020",$22.862 shares at $11.43,22.80,$11.43 ,2020,Buy,American Airlines ,22.8,0,0,22.8,
2543,20-Jul-20,"Cosan Market SellJul 20, 2020",$18.251 share at $18.25,18.20,$18.25 ,2020,Sell,Cosan ,18.2,-18.2,0,0,
2544,20-Jul-20,"Deposit from Checking (non-interest)Jul 20, 2020",$300.00 ,,,2020,Deposit,N/A,,0,0,0,
2545,20-Jul-20,"Exelon Market BuyJul 20, 2020",$38.271 share at $38.27,38.20,$38.27 ,2020,Buy,Exelon ,38.2,0,0,38.2,
2546,20-Jul-20,"VF Market BuyJul 20, 2020",$116.542 shares at $58.27,116.50,$58.27 ,2020,Buy,VF ,116.5,0,0,116.5,
2547,20-Jul-20,"AES Market BuyJul 20, 2020",$30.612 shares at $15.31,30.60,$15.31 ,2020,Buy,AES ,30.6,0,0,30.6,
2548,20-Jul-20,"FLY Leasing Market BuyJul 20, 2020",$58.488 shares at $7.31,58.40,$7.31 ,2020,Buy,FLY Leasing ,58.4,0,0,58.4,
2549,17-Jul-20,"Exelon Market SellJul 17, 2020",$39.481 share at $39.48,39.40,$39.48 ,2020,Sell,Exelon ,39.4,-39.4,0,0,
2550,17-Jul-20,"Honeywell International Market SellJul 17, 2020",$155.141 share at $155.14,155.10,$155.14 ,2020,Sell,Honeywell International ,155.1,-155.1,0,0,
2551,17-Jul-20,"Mazda Market BuyJul 17, 2020",$3.271 share at $3.27,3.20,$3.27 ,2020,Buy,Mazda ,3.2,0,0,3.2,
2552,17-Jul-20,"Rolls-Royce Market BuyJul 17, 2020",$6.742 shares at $3.37,6.70,$3.37 ,2020,Buy,Rolls-Royce ,6.7,0,0,6.7,
2553,17-Jul-20,"Coca-Cola FEMSA Market BuyJul 17, 2020",$40.781 share at $40.78,40.70,$40.78 ,2020,Buy,Coca-Cola FEMSA ,40.7,0,0,40.7,
2554,16-Jul-20,"Coca-Cola FEMSA Market BuyJul 16, 2020",$82.182 shares at $41.09,82.10,$41.09 ,2020,Buy,Coca-Cola FEMSA ,82.1,0,0,82.1,
2555,16-Jul-20,"US Concrete Market SellJul 16, 2020",$26.811 share at $26.81,26.80,$26.81 ,2020,Sell,US Concrete ,26.8,-26.8,0,0,
2556,15-Jul-20,"Alibaba Market BuyJul 15, 2020",$248.831 share at $248.83,248.80,$248.83 ,2020,Buy,Alibaba ,248.8,0,0,248.8,
2557,15-Jul-20,"HCA Healthcare Market SellJul 15, 2020",$104.111 share at $104.11,104.10,$104.11 ,2020,Sell,HCA Healthcare ,104.1,-104.1,0,0,
2558,15-Jul-20,"Coca-Cola FEMSA Market BuyJul 15, 2020",$83.282 shares at $41.64,83.20,$41.64 ,2020,Buy,Coca-Cola FEMSA ,83.2,0,0,83.2,
2559,15-Jul-20,"US Concrete Market SellJul 15, 2020",$78.333 shares at $26.11,78.30,$26.11 ,2020,Sell,US Concrete ,78.3,-78.3,0,0,
2560,15-Jul-20,"Simply Good Foods Market SellJul 15, 2020",$22.591 share at $22.59,22.50,$22.59 ,2020,Sell,Simply Good Foods ,22.5,-22.5,0,0,
2561,14-Jul-20,"Ruth's Hospitality Market BuyJul 14, 2020",$18.533 shares at $6.18,18.50,$6.18 ,2020,Buy,Ruth's Hospitality ,18.5,0,0,18.5,
2562,14-Jul-20,"Cinemark Market BuyJul 14, 2020",$12.261 share at $12.26,12.20,$12.26 ,2020,Buy,Cinemark ,12.2,0,0,12.2,
2563,14-Jul-20,"BJ's Restaurants Market BuyJul 14, 2020",$16.251 share at $16.25,16.20,$16.25 ,2020,Buy,BJ's Restaurants ,16.2,0,0,16.2,
2564,14-Jul-20,"Tailored Brands Market BuyJul 14, 2020",$6.6010 shares at $0.66,6.60,$0.66 ,2020,Buy,Tailored Brands ,6.6,0,0,6.6,
2565,14-Jul-20,"Ruth's Hospitality Market BuyJul 14, 2020",$19.113 shares at $6.37,19.10,$6.37 ,2020,Buy,Ruth's Hospitality ,19.1,0,0,19.1,
2566,14-Jul-20,"BJ's Restaurants Market BuyJul 14, 2020",$33.432 shares at $16.72,33.40,$16.72 ,2020,Buy,BJ's Restaurants ,33.4,0,0,33.4,
2567,14-Jul-20,"PowerFleet Market BuyJul 14, 2020",$8.122 shares at $4.06,8.10,$4.06 ,2020,Buy,PowerFleet ,8.1,0,0,8.1,
2568,13-Jul-20,"BJ's Restaurants Market BuyJul 13, 2020",$17.251 share at $17.25,17.20,$17.25 ,2020,Buy,BJ's Restaurants ,17.2,0,0,17.2,
2569,13-Jul-20,"Alibaba Market SellJul 13, 2020",$259.671 share at $259.67,259.60,$259.67 ,2020,Sell,Alibaba ,259.6,-259.6,0,0,
2570,13-Jul-20,"Simply Good Foods Market SellJul 13, 2020",$65.863 shares at $21.95,65.80,$21.95 ,2020,Sell,Simply Good Foods ,65.8,-65.8,0,0,
2571,10-Jul-20,"FLY Leasing Market BuyJul 10, 2020",$14.662 shares at $7.33,14.60,$7.33 ,2020,Buy,FLY Leasing ,14.6,0,0,14.6,
2572,10-Jul-20,"Herman Miller Market BuyJul 10, 2020",$41.842 shares at $20.92,41.80,$20.92 ,2020,Buy,Herman Miller ,41.8,0,0,41.8,
2573,10-Jul-20,"Ruth's Hospitality Market BuyJul 10, 2020",$13.122 shares at $6.56,13.10,$6.56 ,2020,Buy,Ruth's Hospitality ,13.1,0,0,13.1,
2574,10-Jul-20,"BJ's Restaurants Market BuyJul 10, 2020",$33.422 shares at $16.71,33.40,$16.71 ,2020,Buy,BJ's Restaurants ,33.4,0,0,33.4,
2575,10-Jul-20,"US Foods Market BuyJul 10, 2020",$18.511 share at $18.51,18.50,$18.51 ,2020,Buy,US Foods ,18.5,0,0,18.5,
2576,10-Jul-20,"Blackberry Market BuyJul 10, 2020",$9.542 shares at $4.77,9.50,$4.77 ,2020,Buy,Blackberry ,9.5,0,0,9.5,
2577,10-Jul-20,"Xerox Market BuyJul 10, 2020",$29.382 shares at $14.69,29.30,$14.69 ,2020,Buy,Xerox ,29.3,0,0,29.3,
2578,10-Jul-20,"HP Enterprise Market BuyJul 10, 2020",$17.962 shares at $8.98,17.90,$8.98 ,2020,Buy,HP Enterprise ,17.9,0,0,17.9,
2579,10-Jul-20,"Delta Air Lines Market BuyJul 10, 2020",$25.301 share at $25.30,25.30,$25.30 ,2020,Buy,Delta Air Lines ,25.3,0,0,25.3,
2580,10-Jul-20,"Deposit from Checking (non-interest)Jul 10, 2020",$300.00 ,,,2020,Deposit,N/A,,0,0,0,
2581,10-Jul-20,"JetBlue Airways Market BuyJul 10, 2020",$20.002 shares at $10.00,20.00,$10.00 ,2020,Buy,JetBlue Airways ,20,0,0,20,
2582,9-Jul-20,"Southwest Airlines Market BuyJul 9, 2020",$31.711 share at $31.71,31.70,$31.71 ,2020,Buy,Southwest Airlines ,31.7,0,0,31.7,
2583,9-Jul-20,"Delta Air Lines Market BuyJul 9, 2020",$25.861 share at $25.86,25.80,$25.86 ,2020,Buy,Delta Air Lines ,25.8,0,0,25.8,
2584,9-Jul-20,"JetBlue Airways Market BuyJul 9, 2020",$20.162 shares at $10.08,20.10,$10.08 ,2020,Buy,JetBlue Airways ,20.1,0,0,20.1,
2585,9-Jul-20,"Ruth's Hospitality Market BuyJul 9, 2020",$6.911 share at $6.91,6.90,$6.91 ,2020,Buy,Ruth's Hospitality ,6.9,0,0,6.9,
2586,9-Jul-20,"Chef's Warehouse Market BuyJul 9, 2020",$24.802 shares at $12.40,24.80,$12.40 ,2020,Buy,Chef's Warehouse ,24.8,0,0,24.8,
2587,9-Jul-20,"GE Market BuyJul 9, 2020",$6.641 share at $6.64,6.60,$6.64 ,2020,Buy,GE ,6.6,0,0,6.6,
2588,9-Jul-20,"US Foods Market BuyJul 9, 2020",$18.951 share at $18.95,18.90,$18.95 ,2020,Buy,US Foods ,18.9,0,0,18.9,
2589,9-Jul-20,"Ruth's Hospitality Market BuyJul 9, 2020",$6.921 share at $6.92,6.90,$6.92 ,2020,Buy,Ruth's Hospitality ,6.9,0,0,6.9,
2590,9-Jul-20,"HP Enterprise Market BuyJul 9, 2020",$9.051 share at $9.05,9.00,$9.05 ,2020,Buy,HP Enterprise ,9,0,0,9,
2591,9-Jul-20,"Rolls-Royce Market BuyJul 9, 2020",$3.311 share at $3.31,3.30,$3.31 ,2020,Buy,Rolls-Royce ,3.3,0,0,3.3,
2592,9-Jul-20,"BJ's Restaurants Market BuyJul 9, 2020",$34.392 shares at $17.20,34.30,$17.20 ,2020,Buy,BJ's Restaurants ,34.3,0,0,34.3,
2593,8-Jul-20,"Herman Miller Market BuyJul 8, 2020",$20.841 share at $20.84,20.80,$20.84 ,2020,Buy,Herman Miller ,20.8,0,0,20.8,
2594,8-Jul-20,"Herman Miller Market BuyJul 8, 2020",$20.681 share at $20.68,20.60,$20.68 ,2020,Buy,Herman Miller ,20.6,0,0,20.6,
2595,7-Jul-20,"Herman Miller Market BuyJul 7, 2020",$21.471 share at $21.47,21.40,$21.47 ,2020,Buy,Herman Miller ,21.4,0,0,21.4,
2596,7-Jul-20,"Herman Miller Market BuyJul 7, 2020",$21.591 share at $21.59,21.50,$21.59 ,2020,Buy,Herman Miller ,21.5,0,0,21.5,
2597,7-Jul-20,"Herman Miller Market BuyJul 7, 2020",$21.891 share at $21.89,21.80,$21.89 ,2020,Buy,Herman Miller ,21.8,0,0,21.8,
2598,7-Jul-20,"BJ's Restaurants Market BuyJul 7, 2020",$18.591 share at $18.59,18.50,$18.59 ,2020,Buy,BJ's Restaurants ,18.5,0,0,18.5,
2599,6-Jul-20,"Cosan Market SellJul 6, 2020",$35.932 shares at $17.97,35.90,$17.97 ,2020,Sell,Cosan ,35.9,-35.9,0,0,
2600,6-Jul-20,"BJ's Restaurants Market BuyJul 6, 2020",$18.871 share at $18.87,18.80,$18.87 ,2020,Buy,BJ's Restaurants ,18.8,0,0,18.8,
2601,2-Jul-20,"Deposit from Checking (non-interest)Jul 2, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2602,2-Jul-20,"Ruth's Hospitality Market BuyJul 2, 2020",$31.064 shares at $7.77,31.00,$7.77 ,2020,Buy,Ruth's Hospitality ,31,0,0,31,
2603,29-Jun-20,"Plug Power Market BuyJun 29, 2020",$16.142 shares at $8.07,16.10,$8.07 ,2020,Buy,Plug Power ,16.1,0,0,16.1,
2604,29-Jun-20,"Swire Pacific Market BuyJun 29, 2020",$15.873 shares at $5.29,15.80,$5.29 ,2020,Buy,Swire Pacific ,15.8,0,0,15.8,
2605,29-Jun-20,"Deposit from Checking (non-interest)Jun 29, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2606,29-Jun-20,"Swire Pacific Market BuyJun 29, 2020",$10.582 shares at $5.29,10.50,$5.29 ,2020,Buy,Swire Pacific ,10.5,0,0,10.5,
2607,29-Jun-20,"PowerFleet Market BuyJun 29, 2020",$8.802 shares at $4.40,8.80,$4.40 ,2020,Buy,PowerFleet ,8.8,0,0,8.8,
2608,29-Jun-20,"Toray Industries Market BuyJun 29, 2020",$18.542 shares at $9.27,18.50,$9.27 ,2020,Buy,Toray Industries ,18.5,0,0,18.5,
2609,29-Jun-20,"NRG Energy Market BuyJun 29, 2020",$31.561 share at $31.56,31.50,$31.56 ,2020,Buy,NRG Energy ,31.5,0,0,31.5,
2610,29-Jun-20,"FLY Leasing Market BuyJun 29, 2020",$31.154 shares at $7.79,31.10,$7.79 ,2020,Buy,FLY Leasing ,31.1,0,0,31.1,
2611,29-Jun-20,"International Airlines Group Market BuyJun 29, 2020",$27.905 shares at $5.58,27.90,$5.58 ,2020,Buy,International Airlines Group ,27.9,0,0,27.9,
2612,26-Jun-20,"Canon Market BuyJun 26, 2020",$40.202 shares at $20.10,40.20,$20.10 ,2020,Buy,Canon ,40.2,0,0,40.2,
2613,26-Jun-20,"AT&T Market BuyJun 26, 2020",$29.121 share at $29.12,29.10,$29.12 ,2020,Buy,AT&T ,29.1,0,0,29.1,
2614,26-Jun-20,"Deposit from Checking (non-interest)Jun 26, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2615,26-Jun-20,"FLY Leasing Market BuyJun 26, 2020",$15.552 shares at $7.78,15.50,$7.78 ,2020,Buy,FLY Leasing ,15.5,0,0,15.5,
2616,26-Jun-20,"Southwest Airlines Market BuyJun 26, 2020",$31.551 share at $31.55,31.50,$31.55 ,2020,Buy,Southwest Airlines ,31.5,0,0,31.5,
2617,26-Jun-20,"Delta Air Lines Market BuyJun 26, 2020",$26.711 share at $26.71,26.70,$26.71 ,2020,Buy,Delta Air Lines ,26.7,0,0,26.7,
2618,26-Jun-20,"BJ's Restaurants Market BuyJun 26, 2020",$39.632 shares at $19.82,39.60,$19.82 ,2020,Buy,BJ's Restaurants ,39.6,0,0,39.6,
2619,26-Jun-20,"US Concrete Market BuyJun 26, 2020",$46.122 shares at $23.06,46.10,$23.06 ,2020,Buy,US Concrete ,46.1,0,0,46.1,
2620,26-Jun-20,"Ruth's Hospitality Market BuyJun 26, 2020",$15.582 shares at $7.79,15.50,$7.79 ,2020,Buy,Ruth's Hospitality ,15.5,0,0,15.5,
2621,26-Jun-20,"Jumia Technologies Market BuyJun 26, 2020",$5.171 share at $5.17,5.10,$5.17 ,2020,Buy,Jumia Technologies ,5.1,0,0,5.1,
2622,26-Jun-20,"International Airlines Group Market BuyJun 26, 2020",$5.531 share at $5.53,5.50,$5.53 ,2020,Buy,International Airlines Group ,5.5,0,0,5.5,
2623,26-Jun-20,"Alibaba Market BuyJun 26, 2020",$215.151 share at $215.15,215.10,$215.15 ,2020,Buy,Alibaba ,215.1,0,0,215.1,
2624,26-Jun-20,"Deposit from Checking (non-interest)Jun 26, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2625,26-Jun-20,"BJ's Restaurants Market BuyJun 26, 2020",$39.822 shares at $19.91,39.80,$19.91 ,2020,Buy,BJ's Restaurants ,39.8,0,0,39.8,
2626,26-Jun-20,"Deposit from Checking (non-interest)Jun 26, 2020",$20.00 ,,,2020,Deposit,N/A,,0,0,0,
2627,26-Jun-20,"Deposit from Checking (non-interest)Jun 26, 2020",$20.00 ,,,2020,Deposit,N/A,,0,0,0,
2628,26-Jun-20,"Deposit from Checking (non-interest)Jun 26, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2629,26-Jun-20,"Rolls-Royce Market BuyJun 26, 2020",$3.601 share at $3.60,3.60,$3.60 ,2020,Buy,Rolls-Royce ,3.6,0,0,3.6,
2630,25-Jun-20,"Ruth's Hospitality Market BuyJun 25, 2020",$16.142 shares at $8.07,16.10,$8.07 ,2020,Buy,Ruth's Hospitality ,16.1,0,0,16.1,
2631,25-Jun-20,"Exelon Market BuyJun 25, 2020",$70.442 shares at $35.22,70.40,$35.22 ,2020,Buy,Exelon ,70.4,0,0,70.4,
2632,25-Jun-20,"HP Market BuyJun 25, 2020",$48.173 shares at $16.06,48.10,$16.06 ,2020,Buy,HP ,48.1,0,0,48.1,
2633,25-Jun-20,"HCA Healthcare Market BuyJun 25, 2020",$91.511 share at $91.51,91.50,$91.51 ,2020,Buy,HCA Healthcare ,91.5,0,0,91.5,
2634,25-Jun-20,"Swire Pacific Market BuyJun 25, 2020",$11.042 shares at $5.52,11.00,$5.52 ,2020,Buy,Swire Pacific ,11,0,0,11,
2635,25-Jun-20,"Deutsche Telekom Market BuyJun 25, 2020",$32.762 shares at $16.38,32.70,$16.38 ,2020,Buy,Deutsche Telekom ,32.7,0,0,32.7,
2636,25-Jun-20,"HP Enterprise Market BuyJun 25, 2020",$36.364 shares at $9.09,36.30,$9.09 ,2020,Buy,HP Enterprise ,36.3,0,0,36.3,
2637,25-Jun-20,"HP Enterprise Market BuyJun 25, 2020",$9.251 share at $9.25,9.20,$9.25 ,2020,Buy,HP Enterprise ,9.2,0,0,9.2,
2640,25-Jun-20,"Deposit from Checking (non-interest)Jun 25, 2020",$20.00 ,,,2020,Deposit,N/A,,0,0,0,
2641,25-Jun-20,"Deposit from Checking (non-interest)Jun 25, 2020",$300.00 ,,,2020,Deposit,N/A,,0,0,0,
2642,24-Jun-20,"HP Market BuyJun 24, 2020",$16.291 share at $16.29,16.20,$16.29 ,2020,Buy,HP ,16.2,0,0,16.2,
2643,24-Jun-20,"JetBlue Airways Market BuyJun 24, 2020",$20.902 shares at $10.45,20.90,$10.45 ,2020,Buy,JetBlue Airways ,20.9,0,0,20.9,
2644,24-Jun-20,"Toray Industries Market BuyJun 24, 2020",$18.742 shares at $9.37,18.70,$9.37 ,2020,Buy,Toray Industries ,18.7,0,0,18.7,
2645,24-Jun-20,"Dana Market BuyJun 24, 2020",$10.911 share at $10.91,10.90,$10.91 ,2020,Buy,Dana ,10.9,0,0,10.9,
2646,24-Jun-20,"HP Market BuyJun 24, 2020",$16.291 share at $16.29,16.20,$16.29 ,2020,Buy,HP ,16.2,0,0,16.2,
2647,24-Jun-20,"HP Enterprise Market BuyJun 24, 2020",$9.331 share at $9.33,9.30,$9.33 ,2020,Buy,HP Enterprise ,9.3,0,0,9.3,
2648,24-Jun-20,"Dow Market BuyJun 24, 2020",$39.141 share at $39.14,39.10,$39.14 ,2020,Buy,Dow ,39.1,0,0,39.1,
2649,24-Jun-20,"BJ's Restaurants Market BuyJun 24, 2020",$41.242 shares at $20.62,41.20,$20.62 ,2020,Buy,BJ's Restaurants ,41.2,0,0,41.2,
2650,24-Jun-20,"US Foods Market BuyJun 24, 2020",$18.751 share at $18.75,18.70,$18.75 ,2020,Buy,US Foods ,18.7,0,0,18.7,
2651,24-Jun-20,"Dana Market BuyJun 24, 2020",$21.902 shares at $10.95,21.90,$10.95 ,2020,Buy,Dana ,21.9,0,0,21.9,
2652,24-Jun-20,"Pfizer Market BuyJun 24, 2020",$32.061 share at $32.06,32.00,$32.06 ,2020,Buy,Pfizer ,32,0,0,32,
2653,24-Jun-20,"Herman Miller Market BuyJun 24, 2020",$23.801 share at $23.80,23.80,$23.80 ,2020,Buy,Herman Miller ,23.8,0,0,23.8,
2654,24-Jun-20,"Dana Market BuyJun 24, 2020",$44.074 shares at $11.02,44.00,$11.02 ,2020,Buy,Dana ,44,0,0,44,
2655,24-Jun-20,"International Airlines Group Market BuyJun 24, 2020",$11.642 shares at $5.82,11.60,$5.82 ,2020,Buy,International Airlines Group ,11.6,0,0,11.6,
2656,24-Jun-20,"Deposit from Checking (non-interest)Jun 24, 2020",$300.00 ,,,2020,Deposit,N/A,,0,0,0,
2657,24-Jun-20,"Honeywell International Market BuyJun 24, 2020",$140.401 share at $140.40,140.40,$140.40 ,2020,Buy,Honeywell International ,140.4,0,0,140.4,
2658,24-Jun-20,"Boston Scientific Market BuyJun 24, 2020",$33.951 share at $33.95,33.90,$33.95 ,2020,Buy,Boston Scientific ,33.9,0,0,33.9,
2659,24-Jun-20,"HP Enterprise Market BuyJun 24, 2020",$18.682 shares at $9.34,18.60,$9.34 ,2020,Buy,HP Enterprise ,18.6,0,0,18.6,
2660,24-Jun-20,"Deposit from Checking (non-interest)Jun 24, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2661,24-Jun-20,"Swire Pacific Market BuyJun 24, 2020",$16.713 shares at $5.57,16.70,$5.57 ,2020,Buy,Swire Pacific ,16.7,0,0,16.7,
2662,24-Jun-20,"HCA Healthcare Market BuyJun 24, 2020",$95.751 share at $95.75,95.70,$95.75 ,2020,Buy,HCA Healthcare ,95.7,0,0,95.7,
2663,24-Jun-20,"Carnival Market BuyJun 24, 2020",$32.932 shares at $16.47,32.90,$16.47 ,2020,Buy,Carnival ,32.9,0,0,32.9,
2664,24-Jun-20,"Delta Air Lines Market BuyJun 24, 2020",$28.251 share at $28.25,28.20,$28.25 ,2020,Buy,Delta Air Lines ,28.2,0,0,28.2,
2665,24-Jun-20,"Deposit from Checking (non-interest)Jun 24, 2020",$100.00 ,,,2020,Deposit,N/A,,0,0,0,
2666,24-Jun-20,"Honeywell International Market BuyJun 24, 2020",$141.611 share at $141.61,141.60,$141.61 ,2020,Buy,Honeywell International ,141.6,0,0,141.6,
2667,24-Jun-20,"Deposit from Checking (non-interest)Jun 24, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2668,24-Jun-20,"Boston Scientific Market BuyJun 24, 2020",$34.391 share at $34.39,34.30,$34.39 ,2020,Buy,Boston Scientific ,34.3,0,0,34.3,
2669,24-Jun-20,"Mylan Market BuyJun 24, 2020",$15.891 share at $15.89,15.80,$15.89 ,2020,Buy,Mylan ,15.8,0,0,15.8,
2670,24-Jun-20,"IBM Market BuyJun 24, 2020",$117.401 share at $117.40,117.40,$117.40 ,2020,Buy,IBM ,117.4,0,0,117.4,
2671,24-Jun-20,"Deposit from Checking (non-interest)Jun 24, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2672,24-Jun-20,"JetBlue Airways Market BuyJun 24, 2020",$22.042 shares at $11.02,22.00,$11.02 ,2020,Buy,JetBlue Airways ,22,0,0,22,
2673,24-Jun-20,"FLY Leasing Market BuyJun 24, 2020",$16.752 shares at $8.38,16.70,$8.38 ,2020,Buy,FLY Leasing ,16.7,0,0,16.7,
2674,24-Jun-20,"Ruth's Hospitality Market BuyJun 24, 2020",$17.162 shares at $8.58,17.10,$8.58 ,2020,Buy,Ruth's Hospitality ,17.1,0,0,17.1,
2675,24-Jun-20,"HP Enterprise Market BuyJun 24, 2020",$9.421 share at $9.42,9.40,$9.42 ,2020,Buy,HP Enterprise ,9.4,0,0,9.4,
2676,24-Jun-20,"International Airlines Group Market BuyJun 24, 2020",$11.902 shares at $5.95,11.90,$5.95 ,2020,Buy,International Airlines Group ,11.9,0,0,11.9,
2677,24-Jun-20,"GE Market BuyJun 24, 2020",$6.831 share at $6.83,6.80,$6.83 ,2020,Buy,GE ,6.8,0,0,6.8,
2678,24-Jun-20,"HP Enterprise Market BuyJun 24, 2020",$28.373 shares at $9.46,28.30,$9.46 ,2020,Buy,HP Enterprise ,28.3,0,0,28.3,
2679,23-Jun-20,"PowerFleet Market BuyJun 23, 2020",$51.5911 shares at $4.69,51.50,$4.69 ,2020,Buy,PowerFleet ,51.5,0,0,51.5,
2680,23-Jun-20,"Mylan Market BuyJun 23, 2020",$16.181 share at $16.18,16.10,$16.18 ,2020,Buy,Mylan ,16.1,0,0,16.1,
2681,23-Jun-20,"HP Enterprise Market BuyJun 23, 2020",$9.881 share at $9.88,9.80,$9.88 ,2020,Buy,HP Enterprise ,9.8,0,0,9.8,
2682,22-Jun-20,"BJ's Restaurants Market BuyJun 22, 2020",$40.632 shares at $20.32,40.60,$20.32 ,2020,Buy,BJ's Restaurants ,40.6,0,0,40.6,
2683,22-Jun-20,"Deposit from Checking (non-interest)Jun 22, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2684,22-Jun-20,"BJ's Restaurants Market BuyJun 22, 2020",$40.552 shares at $20.28,40.50,$20.28 ,2020,Buy,BJ's Restaurants ,40.5,0,0,40.5,
2685,22-Jun-20,"JetBlue Airways Market BuyJun 22, 2020",$11.171 share at $11.17,11.10,$11.17 ,2020,Buy,JetBlue Airways ,11.1,0,0,11.1,
2686,22-Jun-20,"BJ's Restaurants Market BuyJun 22, 2020",$20.431 share at $20.43,20.40,$20.43 ,2020,Buy,BJ's Restaurants ,20.4,0,0,20.4,
2687,22-Jun-20,"Deutsche Telekom Market BuyJun 22, 2020",$33.062 shares at $16.53,33.00,$16.53 ,2020,Buy,Deutsche Telekom ,33,0,0,33,
2688,22-Jun-20,"NRG Energy Market BuyJun 22, 2020",$33.351 share at $33.35,33.30,$33.35 ,2020,Buy,NRG Energy ,33.3,0,0,33.3,
2689,22-Jun-20,"BJ's Restaurants Market BuyJun 22, 2020",$61.823 shares at $20.61,61.80,$20.61 ,2020,Buy,BJ's Restaurants ,61.8,0,0,61.8,
2690,22-Jun-20,"Deposit from Checking (non-interest)Jun 22, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2691,22-Jun-20,"HP Enterprise Market BuyJun 22, 2020",$19.562 shares at $9.78,19.50,$9.78 ,2020,Buy,HP Enterprise ,19.5,0,0,19.5,
2692,22-Jun-20,"Ruth's Hospitality Market BuyJun 22, 2020",$16.372 shares at $8.19,16.30,$8.19 ,2020,Buy,Ruth's Hospitality ,16.3,0,0,16.3,
2693,22-Jun-20,"US Foods Market BuyJun 22, 2020",$37.702 shares at $18.85,37.70,$18.85 ,2020,Buy,US Foods ,37.7,0,0,37.7,
2694,19-Jun-20,"FLY Leasing Market BuyJun 19, 2020",$8.401 share at $8.40,8.40,$8.40 ,2020,Buy,FLY Leasing ,8.4,0,0,8.4,
2695,19-Jun-20,"BJ's Restaurants Market BuyJun 19, 2020",$21.821 share at $21.82,21.80,$21.82 ,2020,Buy,BJ's Restaurants ,21.8,0,0,21.8,
2696,19-Jun-20,"Herman Miller Market BuyJun 19, 2020",$23.711 share at $23.71,23.70,$23.71 ,2020,Buy,Herman Miller ,23.7,0,0,23.7,
2697,18-Jun-20,"FLY Leasing Market BuyJun 18, 2020",$8.691 share at $8.69,8.60,$8.69 ,2020,Buy,FLY Leasing ,8.6,0,0,8.6,
2698,18-Jun-20,"Tata Motors Limit BuyJun 18, 2020",$6.211 share at $6.21,6.20,$6.21 ,2020,Buy,Tata Motors ,6.2,0,0,6.2,
2699,17-Jun-20,"US Foods Market BuyJun 17, 2020",$20.061 share at $20.06,20.00,$20.06 ,2020,Buy,US Foods ,20,0,0,20,
2700,17-Jun-20,"Ruth's Hospitality Market BuyJun 17, 2020",$9.251 share at $9.25,9.20,$9.25 ,2020,Buy,Ruth's Hospitality ,9.2,0,0,9.2,
2701,17-Jun-20,"Deposit from Checking (non-interest)Jun 17, 2020",$200.00 ,,,2020,Deposit,N/A,,0,0,0,
2702,17-Jun-20,"BJ's Restaurants Market BuyJun 17, 2020",$45.442 shares at $22.72,45.40,$22.72 ,2020,Buy,BJ's Restaurants ,45.4,0,0,45.4,
2703,15-Jun-20,"Merck Market BuyJun 15, 2020",$74.011 share at $74.01,74.00,$74.01 ,2020,Buy,Merck ,74,0,0,74,
2704,15-Jun-20,"Pfizer Market BuyJun 15, 2020",$32.911 share at $32.91,32.90,$32.91 ,2020,Buy,Pfizer ,32.9,0,0,32.9,
2705,15-Jun-20,"Nissan Market BuyJun 15, 2020",$15.222 shares at $7.61,15.20,$7.61 ,2020,Buy,Nissan ,15.2,0,0,15.2,
2706,15-Jun-20,"Cosan Market BuyJun 15, 2020",$27.552 shares at $13.78,27.50,$13.78 ,2020,Buy,Cosan ,27.5,0,0,27.5,
